word,gloss
американец,"1. Гражданин, житель или уроженец Соединенных Штатов Америки (США).
 2. Человек, связанный с Северной Америкой, или проживающий в этом регионе.
 3. Индивид, прибывший из США."
американский,"1. Относящийся к США или американцам.
 2. Характерный для культуры, истории и обычаев Америки.
 3. Происходящий или обитающий в Америке."
анализ,"1. Детальное исследование объекта, его составных частей и свойств.
 2. Метод научного изучения, включающий разбор и разложение на элементы.
 3. Процесс определения состава и характеристик чего-либо, например, веществ или состояния здоровья.
 4. Запись и представление результатов исследования в письменной форме."
аналогичный,1. Представляющий собой аналог или сходный по характеру и свойствам; подобный.
ананас,"1. Травянистое тропическое растение семейства бромелиевых, известное своими крупными ароматными плодами.
 2. Плод ананаса, имеющий характерную форму шишки.
 3. Мякоть плода ананаса, используемая в кулинарии и как десерт."
анекдот,"1. Короткий юмористический вымышленный рассказ, высмеивающий людей, ситуации или события.
 2. Необычное или неожиданное происшествие, вызывающее смех или удивление."
анкета,"1. Перечень вопросов, составленный в определённой форме для сбора сведений или проведения опросов.
 2. Средство сбора информации, в том числе биологических данных.
 3. То же, что анкетирование, процесс заполнения таких форм."
антенна,"1. Устройство, предназначенное для передачи и приёма электромагнитных волн, используемое в радиовещании, телевидении и других радиотехнологиях.
 2. Подвижная, тонкая часть тела членистоногих, отвечающая за обоняние и осязание; усик."
античный,"1. Относящийся к истории и культуре древних греков и римлян, характерный для древней Греции и Рима.
 2. Классически правильный, с изяществом и красотой, напоминающий статуи древнегреческих и древнеримских ваятелей."
аплодисменты,"1. Рукоплескания, выражающие одобрение, восхищение или приветствие, обычно в знак признания успешного выступления или достижений.
 2. Общественное выражение одобрения, обычно в форме громких рукоплесканий."
апостол,"1. Каждый из двенадцати учеников Христа, посланных им для проповеди его учения.
 2. Ревностный последователь и проповедник какой-либо идеи или учения.
 3. Христианская церковная книга, часть Нового завета."
аппарат,"1. Механическое устройство, предназначенное для выполнения конкретной работы.
 2. Совокупность органов или систем, выполняющих определённую функцию, будь то в организме живого существа, техническом устройстве или организации.
 3. Группа учреждений или сотрудников, отвечающих за управление или обслуживание определённой области.
 4. Вспомогательные материалы или заметки, сопровождающие научный труд или сборник."
апрель,"1. Четвёртый месяц в году, второй весенний месяц в северном полушарии."
аптека,"1. Учреждение, специализирующееся на продаже и, часто, изготовлении лекарственных препаратов, гигиенических и медицинских товаров.
 2. Набор лекарств для домашнего лечения или оказания первой помощи.
 3. Место, где хранятся и продаются лекарственные травы."
арба,"1. Высокая двухколёсная повозка.
 2. Длинная четырёхколёсная повозка."
арбуз,"1. Растение семейства тыквенных, растущее на бахчах, с крупным сладким плодом.
 2. Шарообразный плод с ярко-красной мякотью, употребляемый в пищу."
арест,"1. Заключение под стражу, лишение свободы.
 2. Судебный запрет распоряжаться имуществом или денежными средствами."
арестант,"1. Устаревшее слово для обозначения человека, находящегося под арестом, в тюрьме.
 2. Задержанный, арестованный, тот, кто находится под стражей."
арестовать,"1. Совершить арест, подвергнуть человеку ограничению свободы.
 2. Наложить арест на имущество или товары, запретить их использование."
аристократ,"1. Представитель высшего слоя общества, обычно связанного с наследственной знатностью и властью.
 2. Человек, обладающий высокими моральными качествами, утончённостью и изысканностью в поведении.
 3. Тот, кто отличается аристократичностью и благородством."
аристократический,"1. Свойственный аристократии, соответствующий её характеру и принципам.
 2. Отличающийся изысканностью, утончённостью, господствующей ролью аристократических ценностей."
арифметика,"1. Раздел математики, изучающий свойства и действия над целыми и дробными числами.
 2. Подсчеты, расчеты, операция с числами."
аркан,"1. Длинная веревка с петлёй для ловли лошадей и животных, также известная как лассо.
 2. Толстая веревка, используемая в строительстве и рубке леса.
 3. Насильное удерживание или принуждение к чему-либо."
армия,"1. Совокупность всех вооружённых сил государства, включая сухопутные, морские и воздушные силы.
 2. Оперативное войсковое соединение из нескольких корпусов или дивизий различных родов войск для ведения боевых операций.
 3. Сухопутные вооружённые силы, пехотинцы.
 4. Большое количество людей, объединённых общим делом или положением.
 5. Служба в вооружённых силах.
 6. Устаревшее слово для обозначения основной массы сухопутных войск без служебных привилегий."
аромат,"1. Приятный запах, душистые вещества, особенно пряности.
 2. Неуловимый, но характерный отличительный признак или своеобразие чего-либо.
 3. Общее название для квантовых чисел, связанных с кварками или лептонами."
артель,"1. Добровольное объединение людей, обычно из одной профессии или ремесла, для совместной работы, управления и разделения доходов на основе общей ответственности и самоуправления.
 2. Группа людей, идущих или собравшихся вместе, часто с общей целью или интересом.
 3. Форма коллективного хозяйства, где участники совместно владеют и управляют ресурсами."
артиллерийский,"1. Вооружённый артиллерией, относящийся к артиллерийским орудиям и их использованию."
артиллерист,"1. Воин, служащий в артиллерийских войсках, специализирующийся на управлении и стрельбе из артиллерийских орудий и ракетных систем."
артиллерия,"1. Огнестрельное оружие крупного калибра и различных конструкций, используемое в военных целях.
 2. Род войск, вооруженный артиллерийскими орудиями.
 3. Научная дисциплина, изучающая артиллерийские орудия, их свойства, устройство и применение в бою."
археолог,"1. Специалист, изучающий древние культуры и их наследие посредством раскопок и анализа артефактов.
 2. Исследователь древности, который исследует и восстанавливает историю с помощью археологических находок."
архив,"1. Учреждение, занимающееся хранением, систематизацией и описанием древних документов и рукописей.
 2. Отдел или место хранения старых документов организации или учреждения.
 3. Собрание писем, рукописей, фотографий и других документов, относящихся к определенной организации или личности.
 4. Электронные или печатные издания, содержащие исторические материалы и документы.
 5. Хранение данных на внешних носителях для долгосрочного использования."
архиерей,"1. Высший чин в монашеском духовенстве православной церкви.
 2. Лицо, занимающее этот чин, обладающее третьей по важности степенью священства в иерархии церкви."
архитектор,"1. Специалист в области архитектуры, который проектирует и надзирает за строительством зданий.
 2. Автор и руководитель проектов, особенно в области строительства и дизайна."
архитектура,"1. Наука и искусство проектирования, возведения и оформления зданий и сооружений.
 2. Комплекс зданий и сооружений, создавая гармоничное сочетание с природным ландшафтом.
 3. Стиль и композиция сооружений, включая небольшие декоративные или мемориальные объекты.
 4. Направление в строительстве, определяющее характер и дизайн зданий.
 5. Здания, сооружения и их совокупность.
 6. Структурная и композиционная организации сложных систем (компьютерные сети, базы данных и т.д.)."
асессор,"1. Судебная должность или чин в древних римских, средневековых европейских и российских (начала XVIII — второй половины XIX века) правовых системах; лицо, занимающее такую должность.
 2. Судебное должностное лицо, заседатель.
 3. Специалист в области оценки релевантности поисковых результатов в поисковых системах."
ассигнация,"1. Бумажный денежный знак, существовавший в Российской империи и Франции в определённые исторические периоды.
 2. Устаревшее слово для обозначения бумажных денег.
 3. Контракт, подразумевающий передачу определённой суммы денег или ценностей.
 4. Ценные бумаги, используемые в качестве средств платежа."
ассигнование,"1. Выделение денежных средств на определённые цели.
 2. Денежная сумма, выделенная в результате этого действия."
ассоциация,"1. Объединение людей, организаций или учреждений с общей целью или интересом.
 2. Психологическая связь между элементами сознания, когда появление одного элемента вызывает ассоциативное появление другого.
 3. Группа или сообщество, объединённое общей деятельностью или характером.
 4. Отношение между переменными, при котором изменения в одной вызывают изменения в другой.
 5. Абстрактное понятие, указывающее на связь между классами или категориями."
астроном,"1. Учёный, специализирующийся на изучении небесных тел, их расположения, свойств и происхождения.
 2. Специалист, занимающийся исследованием космоса и астрономических явлений."
асфальт,"1. Ископаемая природная смола, получаемая из нефти, которая при окислении становится чёрной и смолистой.
 2. Искусственная смесь битума и минеральных наполнителей, используемая для строительства дорог, тротуаров и мостовых.
 3. Тёмный лакокрасочный материал, устаревшее слово, ранее использовавшееся для описания такого покрытия."
атаковать,"1. Совершать нападение, вести агрессивное наступление на кого-либо или что-либо.
 2. Предпринимать решительные действия, направленные на достижение цели, особенно в конкурентной или сложной ситуации.
 3. В переносном смысле: активно и энергично выступать против чего-либо или кого-либо, настаивать, добиваться."
атмосфера,"1. Газовая оболочка Земли и некоторых планет, движущаяся вместе с ними.
 2. Окружающая среда, условия или обстановка в определённом месте или контексте.
 3. Единица измерения давления газов, эквивалентная 760 миллиметрам ртутного столба.
 4. В переносном смысле, атмосферный дух или настроение."
атомный,"1. Связанный с атомом или его свойствами.
 2. Относящийся к порядковому номеру химического элемента в периодической таблице.
 3. Использующий или производящий энергию, высвобождаемую в атомах.
 4. Относящийся к ядерной физике или технологиям.
 5. Ошеломляющий, выдающийся.
 6. Полностью несовместимый, противоречащий.
 7. Непомерно большой или мощный."
аттестация,"1. Процесс подтверждения или оценки квалификации, навыков или соответствия определённым стандартам.
 2. Отзыв, характеристика, предоставляемая для подтверждения уровня квалификации или компетентности."
аудитория,"1. Просторное помещение, предназначенное для проведения лекций, докладов и подобных мероприятий.
 2. Группа слушателей, присутствующих на лекции, собрании или мероприятии.
 3. Общее название для круга слушателей, читателей или зрителей."
аул,"1. Населённый пункт сельского типа, характерный для некоторых народов Центральной Азии и Кавказа.
 2. Селение."
афиша,"1. Вывешиваемое на видном месте объявление о предстоящих культурных или развлекательных мероприятиях, таких как спектакли, концерты, лекции.
 2. Оформленное и привлекательное объявление, предназначенное для привлечения внимания к определенному событию или продукту."
ахать,"1. Восклицать ""ах!"" в выражении удивления, восхищения или боли.
 2. Жаловаться или причитать.
 3. Издавать сильный, выразительный звук."
ахнуть,"1. Выразить сильное удивление или восхищение, произнеся «ах!».
 2. Сделать что-то быстро, энергично и внезапно.
 3. Удивиться до сильного потрясения."
аэродром,"1. Участок земли, оборудованный для взлета, посадки и стоянки летательных аппаратов (самолётов, вертолётов, планеров).
 2. Оборудованное место для авиаперелетов.
 3. Большая плоская кепка с козырьком."
аэроплан,"1. Устаревшее слово, обозначающее летательный аппарат, более известный как самолёт.
 2. Летательный аппарат, который летит выше воздуха благодаря силовой установке и крылу, создающему подъемную силу."
бабенка,"1. О бойкой, энергичной молодой женщине."
бабин,1. Принадлежащий или связанный с бабой; характерный для неё.
бабочка,"1. Насекомое из отряда чешуекрылых, имеющее два пары крыльев, покрытых пыльцой, что придаёт им характерную окраску.
 2. Способ завязывания галстука-ленты на шее или сам галстук в виде короткого жёсткого банта.
 3. В переносном значении, женщина, занимающаяся проституцией."
бабушкин,"1. Принадлежащий бабушке, характерный для неё или связанный с её образом жизни и заботами."
багаж,"1. Перевозимое путешественником или пассажиром имущество, включая личные вещи и груз.
 2. Способ перевозки вещей и грузов, а также запас знаний и опыта."
багор,1. Длинный шест с металлическим остриём и крюком на конце.
баз,"1. Огороженное место или двор для содержания скота, характерное для сельской местности.
 2. Хозяйственная часть усадьбы, предназначенная для ухода за животными."
базар,"1. Рынок, место торговли, где продавцы предлагают свои товары.
 2. Массовая торговля, особенно предпраздничная или сезонная.
 3. Беспорядочный шум, крик, разговорная беседа.
 4. Колония морских птиц на прибрежных скалах."
бак,"1. Большой сосуд цилиндрической формы, предназначенный для хранения жидкостей.
 2. Объем или количество жидкости, которое может вместить такой сосуд.
 3. Устаревшее слово, обозначающее общую миску, используемую матросами или рабочими."
бакенбарда,"1. Волосы, оставленные на щеках после бритья, обычно от висков вдоль лица."
бактерия,"1. Прокариотный микроорганизм, обычно одноклеточный.
 2. Безъядерное живое существо, относящееся к домену бактерий."
балаган,"1. Временная постройка для народных развлекательных представлений, таких как ярмарки и гуляния.
 2. Жанр театра, основанный на комических сценках и цирковых номерах, часто с сатирическим уклоном.
 3. В переносном смысле, что-то грубое, несерьёзное или не соответствующее высокому художественному уровню."
балка,"1. Конструктивный элемент, горизонтально размещенный между опорами (стенами или устоями) и используемый для поддержки нагрузки, например, потолка или моста.
 2. Оборудование или материал, используемый для создания таких конструктивных элементов.
 3. Часть механизма или подвески автомобиля."
балкон,"1. Выступающая с наружной стороны здания площадка, ограждённая перилами, соединяющаяся с внутренним помещением.
 2. Верхний или средний ярус в зрительном зале, например, в театре или кинотеатре."
